Source;Target;Label;Highway;Length;Type
1;2;Couraça de Lisboa;residential;332.08;Undirected
3;4;Rua dos Estudos;residential;23.16;Undirected
5;6;Rua Aires de Campos;residential;103.11;Undirected
6;7;Rua Aires de Campos;residential;73.31;Undirected
7;8;Rua Aires de Campos;residential;72.19;Undirected
9;10;Avenida Marnoco e Sousa;residential;222.05;Undirected
11;9;Bairro de São José;secondary;71.75;Undirected
12;13;Alameda Júlio Henriques;secondary;47.77;Undirected
14;15;Ladeira das Alpenduradas;residential;222.43;Undirected
16;17;Ladeira do Seminário;residential;224.39;Undirected
17;18;Ladeira do Seminário;residential;92.92;Undirected
11;19;Bairro de São José;secondary;10.84;Undirected
20;21;Rua da Sofia;secondary;111.87;Undirected
22;23;Rua Olímpio Nicolau Rui Fernandes;secondary;45.44;Undirected
23;24;Rua Olímpio Nicolau Rui Fernandes;secondary;294.6;Undirected
24;25;Rua Olímpio Nicolau Rui Fernandes;secondary;81.46;Undirected
26;27;Rua Lourenço de Almeida Azevedo;tertiary;181.91;Undirected
28;29;Rua Oliveira Matos;secondary;162.26;Undirected
29;30;Rua Oliveira Matos;secondary;17.0;Undirected
31;32;Praça João Paulo II;secondary;6.23;Undirected
32;33;Praça João Paulo II;secondary;22.95;Undirected
33;34;Praça João Paulo II;secondary;7.21;Undirected
34;35;Praça João Paulo II;secondary;31.25;Undirected
35;36;Praça João Paulo II;secondary;15.24;Undirected
36;12;Praça João Paulo II;secondary;9.66;Undirected
12;37;Praça João Paulo II;secondary;26.28;Undirected
37;31;Praça João Paulo II;secondary;6.23;Undirected
4;38;Rua Larga;residential;115.25;Undirected
39;40;Calçada Martim de Freitas;residential;193.66;Undirected
40;36;Calçada Martim de Freitas;residential;9.22;Undirected
1;39;Rua do Arco da Traição;residential;227.96;Undirected
41;42;Avenida Fernão de Magalhães;secondary;15.16;Undirected
32;43;Rua de Tomar;residential;29.91;Undirected
44;45;Avenida Calouste Gulbenkian;residential;197.93;Undirected
45;46;Avenida Calouste Gulbenkian;residential;66.91;Undirected
47;48;Rua Tenente Valadim;residential;148.86;Undirected
49;50;Rua Camilo Castelo Branco;residential;208.84;Undirected
50;51;Rua Camilo Castelo Branco;residential;11.09;Undirected
52;53;Rua Sousa Refoios;residential;48.89;Undirected
49;10;Rua Filipe Simões;residential;46.08;Undirected
54;55;Praça Machado de Assis;residential;32.51;Undirected
56;57;Rua de Pedro Monteiro;residential;189.31;Undirected
58;59;Rua Almeida Garrett;residential;171.78;Undirected
60;61;Circular Interna de Coimbra;secondary;724.96;Undirected
62;63;Avenida Calouste Gulbenkian;residential;279.14;Undirected
30;35;Rua Castro Matoso;secondary;171.54;Undirected
64;7;Rua Fernando Melo;residential;87.62;Undirected
52;6;Rua Sousa Refoios;residential;82.9;Undirected
65;48;Avenida Sá da Bandeira;secondary;13.94;Undirected
48;66;Avenida Sá da Bandeira;secondary;398.26;Undirected
67;68;Rua Padre António Vieira;residential;374.6;Undirected
68;69;Rua Padre António Vieira;residential;9.65;Undirected
69;70;Couraça dos Apóstolos;residential;104.91;Undirected
34;71;Rua Alexandre Herculano;secondary;125.08;Undirected
71;72;Rua Alexandre Herculano;secondary;119.82;Undirected
73;71;Rua Venâncio Rodrigues;residential;148.51;Undirected
74;75;Largo da Feira dos Estudantes;residential;6.05;Undirected
74;3;Rua dos Estudos;residential;138.45;Undirected
76;77;Rua de Olivença;residential;72.36;Undirected
78;76;Rua da Alegria;residential;256.72;Undirected
79;80;Avenida Emídio Navarro;secondary;15.08;Undirected
80;81;Avenida Emídio Navarro;secondary;101.48;Undirected
82;83;Rua Doutor Manuel Rodrigues;secondary;58.9;Undirected
83;84;Rua Doutor Manuel Rodrigues;secondary;44.59;Undirected
84;20;Rua Doutor Manuel Rodrigues;secondary;64.81;Undirected
85;86;Avenida Fernão de Magalhães;secondary;12.15;Undirected
43;33;Rua de Tomar;residential;29.41;Undirected
43;73;Rua de Tomar;residential;184.01;Undirected
73;58;Rua de Tomar;residential;14.2;Undirected
58;56;Rua de Tomar;residential;161.45;Undirected
87;88;Rua Doutor António José de Almeida;residential;163.61;Undirected
88;89;Rua Doutor António José de Almeida;residential;36.12;Undirected
89;90;Rua Doutor António José de Almeida;residential;22.92;Undirected
90;91;Rua Doutor António José de Almeida;residential;153.85;Undirected
91;92;Rua Doutor António José de Almeida;residential;112.96;Undirected
92;93;Rua Doutor António José de Almeida;residential;4.15;Undirected
93;94;Rua Doutor António José de Almeida;residential;68.3;Undirected
94;95;Rua Doutor António José de Almeida;residential;152.15;Undirected
69;96;Rua Inácio Duarte;residential;102.16;Undirected
97;98;UNAMED;secondary;35.16;Undirected
99;100;Rua António Augusto Gonçalves;residential;30.51;Undirected
100;101;Rua António Augusto Gonçalves;residential;49.81;Undirected
101;102;Rua António Augusto Gonçalves;residential;273.77;Undirected
103;104;Avenida Fernão de Magalhães;secondary;292.79;Undirected
105;106;UNAMED;secondary;4.74;Undirected
106;107;UNAMED;secondary;16.63;Undirected
107;103;UNAMED;secondary;12.32;Undirected
103;108;UNAMED;secondary;10.16;Undirected
108;109;UNAMED;secondary;7.23;Undirected
109;110;UNAMED;secondary;9.49;Undirected
110;111;UNAMED;secondary;9.87;Undirected
111;105;UNAMED;secondary;10.38;Undirected
111;112;Avenida Fernão de Magalhães;secondary;274.16;Undirected
113;114;Avenida Fernão de Magalhães;secondary;67.07;Undirected
114;115;Avenida Fernão de Magalhães;secondary;71.48;Undirected
115;108;Avenida Fernão de Magalhães;secondary;261.29;Undirected
86;116;Rua de Simões de Castro;residential;19.32;Undirected
117;118;Rua Carlos Alberto Pinto de Abreu;primary;608.35;Undirected
119;27;Rua João de Deus;residential;92.31;Undirected
120;54;UNAMED;residential;21.99;Undirected
121;122;Ponte de Santa Clara;secondary;177.74;Undirected
123;124;Rua Machado de Castro;residential;63.24;Undirected
124;125;Rua Machado de Castro;residential;14.52;Undirected
126;127;Rua Doutor Dias Ferreira;residential;59.31;Undirected
127;128;Rua Doutor Dias Ferreira;residential;231.1;Undirected
129;130;Rua da Figueira da Foz;tertiary;40.15;Undirected
129;131;Rua da Figueira da Foz;tertiary;183.21;Undirected
130;132;Rua da Figueira da Foz;secondary;31.12;Undirected
95;133;Rua Dom Manuel Correia Bastos Pina;residential;42.69;Undirected
133;134;Rua Dom Manuel Correia Bastos Pina;residential;84.92;Undirected
134;135;Rua Dom Manuel Correia Bastos Pina;residential;60.81;Undirected
136;45;Rua André Gouveia;residential;209.55;Undirected
137;138;Rua da Saragoça;residential;33.52;Undirected
138;139;Rua da Saragoça;residential;38.15;Undirected
140;141;Avenida da Cidade Aeminium;tertiary;14.35;Undirected
142;143;UNAMED;secondary;57.85;Undirected
143;144;UNAMED;secondary;8.93;Undirected
