Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
1;40.2068132;-8.4246965;9957;21.6472212207425
2;40.2069252;-8.4286042;7534;20.2521863394115
3;40.2081969;-8.4235225;19;13.4492014152542
4;40.207991;-8.4234817;223;16.3117530481686
5;40.2045578;-8.416294;499;19.0336147096089
6;40.2054463;-8.4166417;1986;20.126423845362
7;40.2060756;-8.4163843;774;17.9894783105206
8;40.2066922;-8.4161184;341;15.6963089166416
9;40.203326;-8.4193733;4114;20.3733831061418
10;40.2042254;-8.4170388;200;19.6651685657849
11;40.2028145;-8.4188583;4158;17.06965925022
12;40.2067169;-8.4202404;1206;14.0713484178934
13;40.2062884;-8.4202804;857;16.5043257246851
14;40.2031733;-8.4177556;657;14.571903539652
15;40.2012822;-8.4169018;0;12.5069225715888
16;40.2001138;-8.4197972;0;11.86822663176
17;40.2021132;-8.4194392;657;12.6256060777678
18;40.2027239;-8.4186923;981;11.0441184451482
19;40.2028601;-8.4187455;2576;10.562121351232
20;40.214092;-8.4316934;1339;25.7461200662238
21;40.2132658;-8.4309417;2467;24.5676032437148
22;40.2115209;-8.4293844;2655;24.2874472481527
23;40.2115138;-8.4288494;2750;28.0072013804695
24;40.2116946;-8.4253882;3040;29.0167629397793
25;40.2114292;-8.424494;0;22.4212931623292
26;40.2097919;-8.419274;20666;26.1253041093865
27;40.2104498;-8.4173127;20818;29.2896678665429
28;40.2093535;-8.4201882;5239;18.3705586372243
29;40.2082941;-8.4215022;329;17.7064513092266
30;40.2081413;-8.4215075;7800;21.6955901250307
31;40.2066887;-8.4198787;0;8.26668066341751
32;40.2067313;-8.4198311;8702;19.031672279474
33;40.2069377;-8.4198351;0;14.989591475114
34;40.2069847;-8.4198936;0;19.800439777414
35;40.2069311;-8.4202548;7591;19.7305496929584
36;40.2067962;-8.4202868;8658;13.1724337911545
37;40.2066585;-8.4199405;523;21.0376381341919
38;40.2078727;-8.42483;2471;17.8368185432523
39;40.2077351;-8.4222988;8653;20.4921144158658
40;40.2067787;-8.4203929;8653;19.1400656835301
41;40.2096661;-8.4315645;4283;11.0540434276176
42;40.2095346;-8.4316117;1439;9.84390671624592
43;40.2068439;-8.4195113;9200;20.7850563466472
44;40.2144336;-8.4142492;0;15.1108949663473
45;40.2144602;-8.4165799;657;16.7378831966136
46;40.2146316;-8.4173352;1023;14.8587372191438
47;40.2111963;-8.4208749;15594;34.4372413690125
48;40.2099524;-8.420227;2988;34.1174735813807
49;40.2046167;-8.4172173;4772;21.6403805557005
50;40.2040451;-8.4195598;4767;22.8859878222364
51;40.2040261;-8.419688;1058;17.0750836809888
52;40.205695;-8.4175619;7340;20.8614554985788
53;40.2060007;-8.4179756;8283;19.3013688889196
54;40.2146529;-8.4176525;4065;16.061749325637
55;40.2144263;-8.4178945;4363;19.1985700091893
56;40.2081058;-8.4160031;2186;20.7940030065496
57;40.2066609;-8.4171822;1884;19.3021417101683
58;40.2081357;-8.4179039;2495;21.3027321566524
59;40.209247;-8.419309;20935;20.9245151718968
60;40.2213278;-8.4302095;0;9.83833788286618
61;40.2188582;-8.4223073;7;9.98393559820259
62;40.2144123;-8.417482;725;16.3175495736487
63;40.2142739;-8.4141996;0;15.9622727492492
64;40.2058308;-8.4154036;0;15.3554499879796
65;40.2098768;-8.420096;0;20.7130601598415
66;40.2115878;-8.4243995;3242;34.1582229950473
67;40.2099336;-8.4210925;4324;20.5662022608473
68;40.2104734;-8.4254468;4193;19.02115874652
69;40.2103881;-8.4254259;1637;15.1787061948955
70;40.2094741;-8.4251197;1098;15.4070157929569
71;40.208106;-8.4197756;16587;23.6942210456621
72;40.2091806;-8.4196706;19697;21.1645990156164
73;40.2080504;-8.4180283;9449;22.2819477855319
74;40.2094211;-8.4238199;517;14.4770125017963
75;40.2093684;-8.4238023;0;6.38757070862317
76;40.2053442;-8.4258553;981;18.6976880126476
77;40.2048682;-8.4264363;329;17.5500201724728
78;40.2066696;-8.4283305;7779;18.7784652473134
79;40.2069312;-8.4292742;0;16.8136058481786
80;40.2070252;-8.4294022;6725;16.3123015285833
81;40.2075398;-8.4303891;6664;15.8497236934181
82;40.213234;-8.4333256;547;17.4138407498614
83;40.2135431;-8.4327623;862;19.6883925852312
84;40.2137759;-8.4323347;921;22.8881062045648
85;40.2129849;-8.4333168;7912;16.0410169016433
86;40.2130587;-8.4332113;206;13.5676519097938
87;40.2142812;-8.4280433;1031;19.0376670471913
88;40.2135977;-8.426337;1609;19.7515146132878
89;40.2134916;-8.4259349;6208;22.8713900911141
90;40.2134432;-8.4256725;1944;19.2288523238728
91;40.2132765;-8.4238738;1631;19.2881074251528
92;40.2130936;-8.4225653;329;17.3517374118281
93;40.2130905;-8.4225166;4009;22.6602697929343
94;40.2130388;-8.4217151;4962;24.34425118188
95;40.2127444;-8.4199652;4186;23.5714333987461
96;40.21056;-8.4242441;831;14.8025358057019
97;40.2160884;-8.4391467;0;5.74506605546969
98;40.2162294;-8.4387761;329;7.58196188193783
99;40.2031911;-8.4345999;281;5.26572285652419
100;40.2030017;-8.43434;192;4.00354400781761
101;40.202586;-8.4341214;51;6.2599691326356
102;40.2002916;-8.432952;0;6.02623645575425
103;40.2156679;-8.4357755;472;9.71360128379547
104;40.2178726;-8.4376608;0;9.6478143102398
105;40.2154889;-8.4355798;1623;17.9176085194978
106;40.2155272;-8.4355552;1334;8.08218114411578
107;40.2156653;-8.4356305;582;7.47540250049728
108;40.2155984;-8.4358532;4701;10.8530352438799
109;40.2155336;-8.4358596;5415;8.65748822364137
