Source;Target;Label;Highway;Length;Type
1;2;Avenida Doutor Júlio Filipe de Almeida Carrapato;tertiary;27.91;Undirected
3;4;UNAMED;tertiary;2.52;Undirected
4;5;UNAMED;tertiary;24.74;Undirected
5;6;UNAMED;tertiary;13.96;Undirected
6;7;UNAMED;tertiary;20.99;Undirected
8;9;Rua Doutor Cândido Guerreiro;tertiary;134.34;Undirected
9;10;Rua Doutor Cândido Guerreiro;tertiary;102.43;Undirected
10;3;Rua Doutor Cândido Guerreiro;tertiary;3.1;Undirected
11;12;Rua Infante Dom Henrique;tertiary;4.47;Undirected
12;13;Rua Infante Dom Henrique;tertiary;19.27;Undirected
13;14;Rua Infante Dom Henrique;tertiary;57.65;Undirected
15;16;Rua Reitor Teixeira Gomes;tertiary;3.17;Undirected
16;17;Rua Reitor Teixeira Gomes;tertiary;298.44;Undirected
17;18;Rua Reitor Teixeira Gomes;tertiary;24.8;Undirected
18;19;Rua Reitor Teixeira Gomes;tertiary;316.42;Undirected
20;21;Rua Reitor Teixeira Guedes;residential;55.4;Undirected
21;22;Rua Reitor Teixeira Guedes;residential;22.34;Undirected
22;23;Rua Reitor Teixeira Guedes;residential;75.23;Undirected
23;24;Rua Reitor Teixeira Guedes;residential;49.3;Undirected
24;25;Rua Reitor Teixeira Guedes;residential;9.63;Undirected
25;9;Rua Reitor Teixeira Guedes;residential;5.77;Undirected
9;26;Rua Reitor Teixeira Guedes;residential;46.32;Undirected
26;27;Rua Reitor Teixeira Guedes;residential;1.91;Undirected
27;28;Rua Reitor Teixeira Guedes;residential;138.2;Undirected
29;30;Rua de Portugal;residential;36.12;Undirected
30;31;Rua de Portugal;residential;8.99;Undirected
31;32;Rua de Portugal;residential;60.22;Undirected
32;33;Rua de Portugal;residential;18.6;Undirected
33;34;Rua de Portugal;residential;61.51;Undirected
35;4;Avenida 5 de Outubro;tertiary;205.32;Undirected
4;36;Avenida 5 de Outubro;tertiary;2.49;Undirected
36;37;Avenida 5 de Outubro;tertiary;153.33;Undirected
37;38;Avenida 5 de Outubro;tertiary;224.77;Undirected
39;40;Rua de Berlin;residential;63.3;Undirected
40;41;Rua de Berlin;residential;307.87;Undirected
41;42;Rua de Berlin;residential;8.8;Undirected
39;43;Rua Antero de Quental;residential;53.31;Undirected
43;44;Rua Antero de Quental;residential;66.34;Undirected
44;45;Rua Antero de Quental;residential;35.52;Undirected
45;46;Rua Antero de Quental;residential;25.12;Undirected
46;47;Rua Antero de Quental;residential;60.99;Undirected
47;48;Rua Antero de Quental;residential;49.57;Undirected
48;49;Rua Antero de Quental;residential;78.08;Undirected
50;51;Rua Ataíde de Olivera;residential;76.66;Undirected
51;52;Rua Ataíde de Olivera;residential;64.15;Undirected
52;53;Rua Ataíde de Olivera;residential;67.26;Undirected
53;20;Rua Ataíde de Olivera;residential;68.72;Undirected
20;54;Rua Ataíde de Olivera;residential;34.73;Undirected
54;55;Rua Ataíde de Olivera;residential;50.02;Undirected
55;56;Rua Ataíde de Olivera;residential;42.1;Undirected
56;57;Rua Ataíde de Olivera;residential;52.63;Undirected
7;58;UNAMED;residential;28.28;Undirected
58;59;UNAMED;residential;16.72;Undirected
60;61;UNAMED;residential;23.9;Undirected
62;63;Rua Pintor Carlos Porfírio;residential;129.34;Undirected
63;64;Rua Pintor Carlos Porfírio;residential;15.54;Undirected
64;65;Rua Pintor Carlos Porfírio;residential;80.04;Undirected
66;67;Travessa Pintor Carlos Porfírio;residential;13.95;Undirected
67;68;Travessa Pintor Carlos Porfírio;residential;17.42;Undirected
68;69;Travessa Pintor Carlos Porfírio;residential;15.09;Undirected
69;70;Travessa Pintor Carlos Porfírio;residential;11.12;Undirected
70;71;Travessa Pintor Carlos Porfírio;residential;159.91;Undirected
72;73;UNAMED;residential;41.41;Undirected
74;75;Rua do Bocage;residential;25.55;Undirected
75;76;Rua do Bocage;residential;55.48;Undirected
77;78;UNAMED;residential;21.56;Undirected
79;80;Rua Brites de Almeida;residential;18.24;Undirected
80;81;Rua Brites de Almeida;residential;4.05;Undirected
81;82;Rua Brites de Almeida;residential;18.36;Undirected
82;83;Rua Brites de Almeida;residential;31.04;Undirected
83;84;Rua Brites de Almeida;residential;16.32;Undirected
84;79;Rua Brites de Almeida;residential;10.2;Undirected
85;82;UNAMED;residential;54.54;Undirected
75;86;Travessa da Trindade;residential;90.57;Undirected
87;88;Rua da Comunidade Lusíada;residential;133.52;Undirected
89;90;Rua Teófilo Braga;residential;20.8;Undirected
90;91;Rua Teófilo Braga;residential;86.33;Undirected
92;93;Rua Francisco Barreto;tertiary;22.17;Undirected
93;94;Rua Francisco Barreto;tertiary;58.85;Undirected
94;95;Rua Francisco Barreto;tertiary;63.88;Undirected
95;96;Rua Francisco Barreto;tertiary;59.36;Undirected
97;98;Largo do Carmo;residential;64.23;Undirected
98;99;Largo do Carmo;residential;11.17;Undirected
100;101;Rua do Alportel;residential;5.48;Undirected
101;102;Rua do Alportel;residential;6.58;Undirected
102;103;Rua do Alportel;residential;6.12;Undirected
103;104;Rua do Alportel;residential;59.14;Undirected
104;105;Rua do Alportel;residential;63.59;Undirected
105;106;Rua do Alportel;residential;74.92;Undirected
106;107;Rua do Alportel;residential;23.97;Undirected
108;109;Rua Lethes;residential;22.31;Undirected
107;110;Rua Cruz das Mestras;residential;23.06;Undirected
110;111;Rua Cruz das Mestras;residential;104.08;Undirected
111;112;Rua Cruz das Mestras;residential;79.85;Undirected
112;113;Rua Cruz das Mestras;residential;24.88;Undirected
113;114;Rua João de Deus;residential;52.91;Undirected
114;115;Rua João de Deus;residential;43.48;Undirected
