Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
1;37.0190316;-7.9229129;3366;62.3832452747117
2;37.0187811;-7.9228927;1282;55.9510572166346
3;37.0175155;-7.9269899;0;28.5114898137116
4;37.0174961;-7.9269753;1135;56.3763127068759
5;37.0173052;-7.9268321;548;49.4570300719697
6;37.0171938;-7.9267597;866;49.5911805853672
7;37.0170299;-7.9266425;25002;55.2163335743475
8;37.0191261;-7.928787;309;66.6195645147962
9;37.0182277;-7.9277753;5489;66.4174332039575
10;37.0175381;-7.9270103;4649;65.0963150936113
11;37.0210999;-7.939219;0;41.1888263483115
12;37.02106;-7.9392255;7849;58.7118583802227
13;37.020893;-7.9391675;30852;63.5911312115181
14;37.0205222;-7.9387136;51937;67.2210277463164
15;37.0210148;-7.9238038;0;30.5889553404062
16;37.0210341;-7.9237775;45962;81.498605768399
17;37.0227608;-7.921204;13145;77.0075602507281
18;37.0229087;-7.9209949;3313;62.8281288237219
19;37.0248012;-7.9183332;0;61.8718262973234
20;37.0195252;-7.9259397;21422;70.3328857009056
21;37.0191967;-7.9264088;1765;61.8534396146312
22;37.0190597;-7.9265929;1821;58.129661859437
23;37.0186124;-7.9272286;836;56.8249166640982
24;37.0183193;-7.9276452;1347;58.3178374792866
25;37.018262;-7.9277266;24071;65.0073302065318
26;37.0179523;-7.9281668;5780;69.595746574785
27;37.0179409;-7.9281829;1111;70.7350322733723
28;37.0170884;-7.9293156;55899;75.7581967213475
29;37.0181229;-7.9317907;15619;60.7202538105257
30;37.0177994;-7.9317544;873;54.4178807523221
31;37.0177189;-7.9317454;0;62.9958559800065
32;37.0171794;-7.9316865;2798;59.8563143382275
33;37.0170128;-7.9316678;5983;54.5958784288296
34;37.0164618;-7.931606;4243;51.9188757992648
35;37.0169066;-7.9291668;2693;57.031386643882
36;37.0175032;-7.9269487;1111;63.9442683445644
37;37.0179384;-7.92531;36471;69.437699201404
38;37.0185132;-7.9228828;36209;67.0195253458541
39;37.0173349;-7.9222141;22620;61.6839972498441
40;37.0174988;-7.9215313;30964;64.0091843046756
41;37.0199353;-7.9231784;31528;63.5425498194317
42;37.0199672;-7.9232691;33401;70.0296955742322
43;37.0171885;-7.9227859;25703;63.0740885063643
44;37.0170059;-7.9234973;12636;58.5265285698195
45;37.0169185;-7.9238821;11655;55.3063513660435
46;37.0168513;-7.9241522;12325;59.2392154079063
47;37.0166858;-7.9248071;13761;63.8412788124537
48;37.0165442;-7.9253365;112;61.2459189506384
49;37.0163311;-7.9261745;25985;65.303514547699
50;37.0215519;-7.9277494;27524;76.0514898922358
51;37.0209972;-7.9272367;22563;75.6702954294907
52;37.0205252;-7.9268212;20849;73.7772636941211
53;37.020028;-7.9263898;22034;72.412112106613
54;37.0192284;-7.9258179;24703;68.1009379669559
55;37.0187986;-7.9256515;24400;67.1575253979166
56;37.018438;-7.925507;23235;66.6788961788876
57;37.0179872;-7.9253263;41947;70.3064268550329
58;37.0170724;-7.9269565;22717;52.787402994597
59;37.0170037;-7.927124;23861;56.9109107127413
60;37.0168849;-7.9293189;53539;60.9436910594874
61;37.0167274;-7.9291357;54001;59.0033457518926
62;37.0156058;-7.9250469;27155;65.0993071805198
63;37.014453;-7.9252411;17343;60.9500311606949
64;37.0143394;-7.925343;7645;48.0908462216351
65;37.0138126;-7.9259573;6549;46.6889321700635
66;37.0146704;-7.9225156;12012;59.0397702335431
67;37.0145765;-7.9224114;3327;43.9751773799965
68;37.0144446;-7.9223056;766;38.3852456273552
69;37.0143118;-7.9223404;548;36.642260736226
70;37.0142558;-7.9224442;4412;49.08257389827
71;37.0138273;-7.9241634;6604;50.8552134258367
72;37.0141969;-7.9219173;1854;43.6757540998415
73;37.0145693;-7.9219186;1129;41.2747018449285
74;37.0160159;-7.9286577;51070;58.4202952791151
75;37.0158515;-7.9288588;41277;59.6957276344407
76;37.0154911;-7.929291;36144;60.0402115988189
77;37.0170487;-7.933926;7545;43.8866016261082
78;37.0170701;-7.9341674;5318;41.478347362148
79;37.0156327;-7.9295268;0;44.1849074954043
80;37.0157926;-7.929481;1103;53.8590156899132
81;37.0158204;-7.9295105;1878;53.5272266299497
82;37.0157786;-7.9297106;3227;52.2212940882567
83;37.0155045;-7.9297767;440;47.5242376224701
84;37.0155735;-7.9296145;685;50.7637698342233
85;37.0161667;-7.9300863;0;46.9272857672056
86;37.0163862;-7.9296283;3938;57.2625430677015
87;37.0166462;-7.9364953;72600;62.2353554783398
88;37.0161174;-7.9378455;73134;65.5178913049316
89;37.0188689;-7.9371449;5347;56.4080824310636
90;37.0189557;-7.9369374;6308;59.7569081097942
91;37.0193023;-7.9360673;15562;62.2504810120125
92;37.0181939;-7.9393585;1800;60.8322834534185
93;37.0182933;-7.9391421;2406;59.300530084004
94;37.0185572;-7.9385675;80298;64.4255476196158
95;37.0188437;-7.9379439;24428;63.7340111864814
96;37.0191099;-7.9373643;34997;63.5546813979874
97;37.0204624;-7.9339368;39915;61.6597719188511
98;37.0199406;-7.934247;8558;60.4299497190685
99;37.0198611;-7.9343239;1319;56.5349571959125
100;37.0210499;-7.9333342;2583;51.6464507013533
101;37.0210133;-7.9332929;0;47.658455016328
102;37.020963;-7.9332538;1531;48.3596695352774
103;37.0209097;-7.9332367;1886;58.3471297406246
104;37.0203823;-7.9333225;36058;63.9947640324261
105;37.019816;-7.9334224;10849;63.0243952461734
106;37.0191505;-7.933554;8136;60.1991608177634
107;37.0189375;-7.9335956;14073;58.6256249648162
108;37.0182513;-7.931909;973;50.7485752363648
109;37.0181199;-7.9320989;11939;57.3700970406781
110;37.0189912;-7.9333447;13310;61.2461072015234
111;37.0193143;-7.9322445;14246;62.7331942261818
112;37.0195227;-7.9313838;14271;62.2983027217836
113;37.0196209;-7.931132;38563;72.6089384182888
114;37.0192402;-7.9307744;24145;70.5588836652332
