Source;Target;Label;Highway;Length;Type
1;2;Rua da Senhora da Glória;residential;77.94;Undirected
3;4;Rua Leite de Vasconcelos;residential;337.46;Undirected
4;1;Rua Leite de Vasconcelos;residential;88.29;Undirected
5;6;Travessa de Santo António à Graça;residential;44.58;Undirected
6;7;Rua do Cardal da Graça;residential;128.94;Undirected
8;9;Rua da Belavista à Graça;residential;17.05;Undirected
10;11;Campo de Santa Clara;residential;369.41;Undirected
12;13;Rua da Palma;primary;301.28;Undirected
14;15;Rua das Pretas;tertiary;71.53;Undirected
14;16;Rua do Telhal;tertiary;172.86;Undirected
17;18;Calçada do Moinho de Vento;tertiary;149.13;Undirected
19;20;Campo dos Mártires da Pátria;residential;86.9;Undirected
20;21;Campo dos Mártires da Pátria;residential;44.43;Undirected
22;23;Rua Rodrigues Sampaio;residential;218.32;Undirected
23;24;Rua Rodrigues Sampaio;residential;177.04;Undirected
25;26;Rua dos Sapateiros;residential;389.02;Undirected
27;28;Rua Áurea;tertiary;33.98;Undirected
29;30;Rua do Comércio;residential;43.98;Undirected
30;31;Rua do Comércio;residential;74.74;Undirected
31;32;Rua do Comércio;residential;142.63;Undirected
32;33;Rua do Comércio;residential;52.54;Undirected
33;34;Rua do Comércio;residential;56.57;Undirected
34;35;Praça do Município;residential;32.92;Undirected
36;37;Rua de São Julião;residential;31.08;Undirected
37;38;Rua de São Julião;residential;78.05;Undirected
38;39;Rua de São Julião;residential;143.03;Undirected
39;40;Rua de São Julião;residential;74.34;Undirected
40;41;Rua de São Julião;residential;43.98;Undirected
41;42;Rua de São Julião;residential;47.25;Undirected
43;44;Escolas Gerais;residential;38.54;Undirected
44;45;Escolas Gerais;residential;37.16;Undirected
45;46;Escolas Gerais;residential;73.81;Undirected
47;48;Rua dos Fanqueiros;tertiary;406.3;Undirected
49;50;Rua de São Nicolau;residential;37.89;Undirected
51;52;Rua da Madalena;tertiary;58.32;Undirected
52;53;Rua da Madalena;tertiary;37.81;Undirected
53;54;Rua da Madalena;tertiary;66.4;Undirected
55;56;Rua dos Douradores;residential;420.11;Undirected
57;58;Rua Nova do Almada;residential;79.27;Undirected
58;49;Rua Nova do Almada;residential;2.69;Undirected
49;59;Rua Nova do Almada;residential;126.16;Undirected
60;61;Rua do Crucifixo;residential;78.0;Undirected
62;63;Rua do Arsenal;secondary;27.15;Undirected
16;64;Rua da Fé;residential;130.96;Undirected
64;65;Rua da Fé;residential;24.99;Undirected
66;67;Praça dos Restauradores;residential;12.45;Undirected
67;68;Praça dos Restauradores;residential;23.06;Undirected
69;70;Rua Maria;residential;103.54;Undirected
70;71;Rua Maria;residential;103.4;Undirected
72;73;Rua do Vale de Santo António;residential;290.05;Undirected
73;9;Rua do Vale de Santo António;residential;31.23;Undirected
74;75;Rua de Sapadores;tertiary;158.9;Undirected
76;75;Avenida General Roçadas;tertiary;25.77;Undirected
77;78;Rua António Maria Baptista;residential;40.59;Undirected
78;79;Rua António Maria Baptista;residential;85.81;Undirected
78;80;Rua Borges Grainha;residential;101.72;Undirected
81;77;Rua Feio Terenas;residential;99.38;Undirected
82;7;Travessa da Senhora da Glória;residential;90.68;Undirected
83;84;Rua Barata Salgueiro;residential;111.29;Undirected
84;85;Rua Barata Salgueiro;residential;81.82;Undirected
86;87;Cais da Lingueta;residential;63.21;Undirected
34;36;Largo de São Julião;residential;45.37;Undirected
7;88;Travessa da Senhora da Glória;residential;69.5;Undirected
89;90;Rua Damasceno Monteiro;residential;114.31;Undirected
74;8;Rua de Sapadores;residential;31.44;Undirected
2;6;Travessa de Santo António à Graça;residential;98.36;Undirected
37;57;Rua Nova do Almada;residential;42.23;Undirected
91;92;Rua Palmira;residential;344.28;Undirected
93;91;Rua Andrade;residential;74.02;Undirected
91;70;Rua Andrade;residential;80.14;Undirected
70;94;Rua Andrade;residential;60.8;Undirected
95;22;Rua de Manuel de Jesús Coelho;residential;61.89;Undirected
61;96;Rua da Assunção;residential;38.5;Undirected
11;97;UNAMED;residential;3.55;Undirected
98;99;Rua da Verónica;residential;228.77;Undirected
99;100;Rua da Verónica;residential;170.25;Undirected
101;4;Rua C;residential;190.67;Undirected
102;103;Rua dos Remédios;residential;145.97;Undirected
103;104;Rua dos Remédios;residential;93.61;Undirected
105;106;Beco do Pernabuquel;residential;28.3;Undirected
107;108;Largo do Outeirinho da Amendoeira;residential;118.44;Undirected
109;110;UNAMED;residential;45.57;Undirected
110;111;UNAMED;residential;17.74;Undirected
112;113;Travessa de São Vicente;residential;102.96;Undirected
114;115;Travessa das Mónicas;residential;66.97;Undirected
115;116;Travessa das Mónicas;residential;128.66;Undirected
117;118;Rua Josefa de Óbidos;residential;50.68;Undirected
119;117;Rua Josefa de Óbidos;residential;64.8;Undirected
117;120;Rua Josefa de Óbidos;residential;59.34;Undirected
121;122;Beco das Beatas;residential;42.93;Undirected
2;123;Rua do Sol à Graça;residential;102.07;Undirected
123;124;Rua do Sol à Graça;residential;8.84;Undirected
124;125;Rua do Sol à Graça;residential;68.48;Undirected
126;127;Rua Virgínia;residential;49.58;Undirected
127;128;Rua Virgínia;residential;13.25;Undirected
129;90;Travessa do Monte;residential;116.92;Undirected
130;131;Rua de São Gens;residential;82.42;Undirected
131;132;Rua de São Gens;residential;32.16;Undirected
132;133;Rua de São Gens;residential;50.63;Undirected
134;133;Rua da Senhora do Monte;residential;63.93;Undirected
133;135;Rua da Senhora do Monte;residential;63.91;Undirected
135;130;Rua da Senhora do Monte;residential;65.38;Undirected
130;136;Rua da Senhora do Monte;residential;63.92;Undirected
137;138;Travessa da Nazaré;residential;100.35;Undirected
100;139;Travessa do Pereira;residential;55.32;Undirected
139;140;Travessa do Pereira;residential;113.28;Undirected
141;142;Rua das Olarias;residential;25.02;Undirected
142;138;Rua das Olarias;residential;66.2;Undirected
138;143;Rua das Olarias;residential;80.35;Undirected
141;144;Rua dos Lagares;residential;20.35;Undirected
144;145;Rua dos Lagares;residential;78.54;Undirected
145;146;Rua dos Lagares;residential;20.16;Undirected
146;147;Rua dos Lagares;residential;135.61;Undirected
148;149;Largo das Olarias;residential;74.09;Undirected
149;150;Largo das Olarias;residential;10.12;Undirected
150;144;Largo das Olarias;residential;48.7;Undirected
148;151;Travessa do Terreirinho;residential;3.48;Undirected
152;153;Rua do Terreirinho;residential;120.7;Undirected
153;154;Rua do Terreirinho;residential;88.49;Undirected
154;155;Rua do Terreirinho;residential;28.45;Undirected
156;157;Rua Duque de Palmela;residential;185.62;Undirected
85;158;Rua Mouzinho da Silveira;residential;88.04;Undirected
158;159;Rua Mouzinho da Silveira;residential;92.03;Undirected
160;161;Travessa do Salitre;residential;115.21;Undirected
59;162;Rua Garrett;residential;31.14;Undirected
162;163;Rua Garrett;residential;43.55;Undirected
163;164;Rua Garrett;residential;102.65;Undirected
165;166;Praça Dom João da Câmara;residential;14.47;Undirected
162;167;Calçada do Sacramento;residential;64.41;Undirected
167;168;Calçada do Sacramento;residential;40.0;Undirected
169;170;Rua do Alecrim;secondary;38.13;Undirected
171;172;Rua São Pedro de Alcántara;secondary;21.1;Undirected
172;173;Rua São Pedro de Alcántara;secondary;48.49;Undirected
173;174;Rua São Pedro de Alcántara;secondary;32.01;Undirected
174;175;Rua São Pedro de Alcántara;secondary;34.06;Undirected
175;176;Rua São Pedro de Alcántara;secondary;22.81;Undirected
176;177;Rua São Pedro de Alcántara;secondary;10.62;Undirected
177;178;Rua São Pedro de Alcántara;secondary;103.02;Undirected
178;179;Rua São Pedro de Alcántara;secondary;33.87;Undirected
64;180;Rua do Cardal de São José;residential;53.3;Undirected
180;181;Rua do Cardal de São José;residential;31.41;Undirected
181;182;Rua do Cardal de São José;residential;70.67;Undirected
182;183;Rua do Cardal de São José;residential;58.87;Undirected
183;184;Rua do Cardal de São José;residential;52.33;Undirected
185;180;Rua do Carrião;residential;119.66;Undirected
