Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
1;38.7180771;-9.1277204;5102;45.0501014668205
2;38.7187683;-9.1278696;5725;46.3730072092642
3;38.7180741;-9.1228135;0;45.6440636755908
4;38.7180573;-9.1267031;2115;47.7485086609343
5;38.7194366;-9.1264626;1058;45.2598939287466
6;38.7192176;-9.126893;1788;46.2486212283636
7;38.7203098;-9.1273923;5260;47.2814946442336
8;38.7211321;-9.1267276;5274;37.8692421693288
9;38.7209788;-9.1267297;3168;30.0486063255049
10;38.7157454;-9.1228872;0;26.1919776999257
11;38.7151013;-9.1270642;1058;26.2694819456834
12;38.7170994;-9.1358156;84333;52.2928895642104
13;38.7197998;-9.1355317;84455;52.8687951065645
14;38.7190402;-9.142968;27385;44.9085990789476
15;38.7186513;-9.1436248;0;36.7700663498099
16;38.7204074;-9.1420198;26831;43.2044410223882
17;38.7206452;-9.1418672;47618;48.9990043715397
18;38.7202936;-9.1402084;47395;48.7220694782049
19;38.723266;-9.1396147;10230;45.3706601493829
20;38.7227153;-9.1403254;9552;44.9390270996886
21;38.7223691;-9.1405812;0;39.2085337175607
22;38.7208696;-9.144777;12414.5;40.9487465613693
23;38.7224922;-9.146194;14333;42.4149564399302
24;38.723808;-9.147343;0;38.9317172299291
25;38.7128361;-9.1389588;0;62.9755951076374
26;38.7094954;-9.1376273;1395;64.4559299528059
27;38.7131661;-9.139508;28980;53.2540026046296
28;38.7128623;-9.139466;29829;61.0135511249641
29;38.7093404;-9.1348703;32035.5;57.8055621220693
30;38.709223;-9.1353543;136119.5;64.1311856434722
31;38.7090247;-9.1361773;137471;68.2288292463845
32;38.7086424;-9.1377464;157317;67.5922661122691
33;38.7085021;-9.1383246;145605;61.7269630425892
34;38.7083503;-9.1389468;389;56.1866661068703
35;38.7082609;-9.1393085;0;53.7402892804842
36;38.7087398;-9.1391024;161;55.2934296163148
37;38.7088228;-9.1387604;62713;64.0895765727788
38;38.7090312;-9.1379014;95870;69.4661447007533
39;38.7094156;-9.1363283;82949;69.757137253234
40;38.7096118;-9.1355093;184061.25;66.5291580823955
41;38.7097292;-9.1350253;112725.5;61.0525456303693
42;38.7098554;-9.1345053;123609;59.0574714720992
43;38.713999;-9.128244;26308;38.0037502620449
44;38.7137561;-9.1285608;14026;36.0831865088157
45;38.7134457;-9.1287194;12590;36.7487522236662
46;38.712834;-9.1290497;9403;35.6920288392302
47;38.7134617;-9.1370518;114731;68.514962670476
48;38.7099744;-9.1356538;116716;68.7996900621249
49;38.7098936;-9.1391671;2269;53.3073381585447
50;38.7099964;-9.1387508;2983;56.1125851648204
51;38.7100918;-9.1351698;17950.25;59.0988991622665
52;38.7105936;-9.1353652;13015;56.1919806345929
53;38.7109173;-9.1354988;12201;55.0040410675259
54;38.7114872;-9.1357272;1;50.37693132487
55;38.7134869;-9.1374835;2813;60.8594167600172
56;38.7098793;-9.1360454;1054;60.6889118582175
57;38.7091885;-9.1388918;64577;63.2829743896831
58;38.7098705;-9.1391579;1058;56.6450065731099
59;38.710968;-9.1396342;2009;53.0469157367081
60;38.7106935;-9.1390285;149;53.9812331231738
61;38.7113633;-9.1392956;740;54.6672016301719
62;38.7081124;-9.1375437;26193;64.8947764401342
63;38.7080882;-9.137855;0;52.987289012733
64;38.7196799;-9.1432069;811;40.093187040669
65;38.7195468;-9.143439;287;38.0515617604937
66;38.7163398;-9.14179;23725;33.1397345510643
67;38.7164509;-9.1418082;23737;35.9919152968489
68;38.7166313;-9.1419393;0;36.4158229756309
69;38.7234335;-9.1332457;9664;62.4039762881081
70;38.7225051;-9.1333371;10190;61.5768620632566
71;38.7216505;-9.1338069;9889;58.3707149375392
72;38.7192594;-9.1237538;0;32.2249618422959
73;38.720818;-9.1264346;2115;32.6681523093563
74;38.7211469;-9.1270895;8687;44.6239397001501
75;38.7213171;-9.1289081;1676;42.7149519091834
76;38.7215466;-9.1288665;410;35.0704790722005
77;38.7226535;-9.130643;1058;33.6065057873136
78;38.7226808;-9.1301764;3170;37.0785940067326
79;38.7227489;-9.1291911;7376;37.412731819614
80;38.7235931;-9.1302628;0;35.0684882408958
81;38.7235259;-9.1308919;0;32.3726118087589
82;38.7209507;-9.126746;1898;45.0326426279735
83;38.7200896;-9.1507141;0;39.3265909537709
84;38.7206531;-9.149654;1107.75;44.1533411672661
85;38.7210674;-9.1488746;1357.25;43.5082818989947
86;38.7113584;-9.1274565;7700;54.0080671633755
87;38.7108636;-9.1270978;9784;65.5472485766407
88;38.7199886;-9.1280795;15047;47.9183334241004
89;38.7180083;-9.1298923;45978;63.3035169625251
90;38.7182171;-9.1311824;106777;74.9665654239757
91;38.72257;-9.1342571;1894;59.181930210048
92;38.7256542;-9.1339078;0;57.4656578556226
93;38.7225986;-9.1351096;1859;51.9906935374717
94;38.7224774;-9.1326371;542;60.4844636159051
95;38.7205562;-9.1453666;5440;43.8800668408355
96;38.7114661;-9.1388719;32167;65.3312067834284
97;38.7150963;-9.1271046;2114;39.287049907038
98;38.7158404;-9.1252782;0;45.2168398297395
99;38.7168821;-9.1275521;4137;47.8570920374419
100;38.7171253;-9.1294895;7085;45.6729455633396
101;38.7171577;-9.1248321;0;42.6328002089071
102;38.7136087;-9.1249153;0;31.6587458430003
103;38.7127761;-9.126216;7433;33.4053814210287
104;38.7121381;-9.1269199;7052;31.5308051888532
105;38.7116407;-9.1275478;7174;29.7621225956407
106;38.7116641;-9.127223;204;26.1976198927292
107;38.7147208;-9.1262998;0;19.2867790207072
108;38.7138559;-9.1270965;1058;19.5118662366085
109;38.7126978;-9.1278529;8761;31.384687668924
110;38.713107;-9.127881;454;30.6463271116968
111;38.7132664;-9.1278903;953;33.516116061916
112;38.7161567;-9.1302949;10082;49.11514845511
