Source;Target;Label;Highway;Length;Type
1;2;Rua de Ramalho Ortigão;residential;103.78;Undirected
3;4;Rua da Conceição;residential;75.58;Undirected
4;5;Rua da Conceição;residential;64.46;Undirected
4;6;Rua de José Falcão;residential;191.06;Undirected
7;8;Rua de Avis;residential;83.58;Undirected
9;10;Rua da Maternidade;residential;194.98;Undirected
11;12;Rua do Rosário;tertiary;120.01;Undirected
12;13;Rua do Rosário;tertiary;105.07;Undirected
13;14;Rua do Rosário;tertiary;120.54;Undirected
14;9;Rua do Rosário;tertiary;108.1;Undirected
15;14;Rua do Breyner;residential;307.93;Undirected
14;16;Rua do Breyner;residential;175.45;Undirected
17;18;Praça da República;secondary;103.09;Undirected
18;19;Praça da República;secondary;132.92;Undirected
19;20;Praça da República;secondary;4.95;Undirected
21;22;Rua Álvares Cabral;secondary;16.19;Undirected
22;23;Rua Álvares Cabral;secondary;480.51;Undirected
24;25;Rua dos Bragas;residential;374.0;Undirected
22;26;UNAMED;residential;23.77;Undirected
9;27;Rua da Boa Hora;tertiary;113.17;Undirected
28;29;Rua de Carlos Alberto;residential;59.13;Undirected
30;31;Rua da Boavista;secondary;22.08;Undirected
31;32;Rua da Boavista;secondary;356.71;Undirected
32;33;Rua da Boavista;secondary;19.49;Undirected
33;34;Rua da Boavista;secondary;120.18;Undirected
34;35;Rua da Boavista;secondary;126.57;Undirected
36;37;Rua da Regeneração;tertiary;56.54;Undirected
37;38;Rua da Regeneração;tertiary;98.35;Undirected
39;40;Rua do Alferes Malheiro;residential;202.16;Undirected
41;42;Rua de Fernandes Tomás;secondary;172.9;Undirected
43;44;Rua do Bonjardim;residential;246.45;Undirected
44;45;Rua do Bonjardim;residential;55.73;Undirected
45;46;Rua do Bonjardim;residential;114.13;Undirected
47;48;Rua da Firmeza;tertiary;208.3;Undirected
49;50;Rua da Alegria;secondary;53.15;Undirected
50;51;Rua da Alegria;secondary;68.43;Undirected
52;53;Rua Dom Agostinho de Jesus e Sousa;tertiary;308.11;Undirected
54;55;Rua Doutor Alves da Veiga;residential;217.19;Undirected
56;57;Rua das Carvalheiras;residential;180.55;Undirected
51;58;Rua da Escola Normal;tertiary;143.91;Undirected
59;60;Rua Dom João IV;secondary;225.83;Undirected
61;62;Travessa de Anselmo Braancamp;residential;89.42;Undirected
63;64;Túnel da Ribeira;primary;175.6;Undirected
65;66;Rua do Infante Dom Henrique;primary;163.86;Undirected
