Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
1;41.1494225;-8.6112132;2;39.4239682916455
2;41.1487987;-8.6121351;8879;42.5671950348288
3;41.1499789;-8.6131423;96;29.8869501934822
4;41.1499575;-8.6140445;4832;35.542658953123
5;41.1499245;-8.6148131;4246;32.6558896418175
6;41.1482599;-8.614397;9317;36.6015603375589
7;41.1475478;-8.6133682;16350;40.926720217932
8;41.1482774;-8.613128;9702;37.060342867219
9;41.1516751;-8.6212928;1441;38.4567740092756
10;41.1506517;-8.6231838;0;34.8696339389248
11;41.1477096;-8.6201438;3379;32.6210035984753
12;41.1487092;-8.6206842;3457;34.5449816000174
13;41.1496431;-8.6208752;13059;39.3533055060504
14;41.1507146;-8.6210934;13080;40.69089417609
15;41.1515875;-8.6176031;12197;39.2141347281477
16;41.1502273;-8.6230864;0;34.9251458345771
17;41.1537434;-8.6132505;30472;44.2785611749668
18;41.1538357;-8.6120253;6716;40.4318131554706
19;41.155031;-8.6120065;6172;38.2159229272688
20;41.1550649;-8.6120449;0;24.9142330944671
21;41.1552341;-8.6190683;261;30.6388418252014
22;41.1551988;-8.6188807;6970;42.3388241703304
23;41.1541642;-8.6133083;11592;42.5419050056032
24;41.1528719;-8.6135935;18703;45.5197636206581
25;41.1524873;-8.6180312;17229;45.5527888082255
26;41.1549974;-8.6189758;327;41.5450179253386
27;41.1526088;-8.6207549;4433;42.5700138291361
28;41.1474381;-8.6160919;116;20.3591830334602
29;41.1479648;-8.6159944;471;21.9813393504688
30;41.1552594;-8.6132878;2880;27.9919628706836
31;41.1553245;-8.613537;94;28.1819636841333
32;41.1560159;-8.6176976;481;28.4631675812054
33;41.1560535;-8.617925;6698;37.922483785905
34;41.1562894;-8.6193259;3553;40.1867929575435
35;41.1565339;-8.6208024;1894;35.2496725421325
36;41.1552348;-8.6119105;6133;39.9247700280853
37;41.1557432;-8.611899;2860;38.945939519676
38;41.1566275;-8.6118764;203;33.9097489144948
39;41.152994;-8.6120177;25656;47.6215694243179
40;41.1518487;-8.6101425;18112;45.695142477106
41;41.1483815;-8.5985652;1276;45.6892763142332
42;41.1486904;-8.600589;4326;50.8318029643239
43;41.1525979;-8.6080224;2098;45.7346052442354
44;41.1504849;-8.6089109;14698;48.1304653584564
45;41.1501627;-8.6094208;22107;49.2610718139913
46;41.1491375;-8.6094872;20697;50.4578124859281
47;41.1509254;-8.6067378;32900;59.4168105500065
48;41.1509449;-8.6042501;31932;63.0490921219112
49;41.1556131;-8.6025849;1777;43.722750283898
50;41.1551559;-8.60277;399;43.4718819290073
51;41.1545668;-8.6030065;10826;56.1739925746089
52;41.153838;-8.596085;0;48.7596356680536
53;41.1532888;-8.599692;3862;53.6334426860902
54;41.1472894;-8.602621;713;51.9883281009101
55;41.1491982;-8.6031713;624;54.9247606927012
56;41.1550942;-8.6055437;245;43.7103088625703
57;41.1535499;-8.6062099;9629;47.8305143933227
58;41.1548151;-8.6046934;10664;54.0051229170284
59;41.1489819;-8.6020829;17389;58.4447857944209
60;41.1510098;-8.6022297;16947;60.5962546898511
61;41.1545339;-8.6005458;1961;51.0014342881823
62;41.1545295;-8.5994778;108;47.857966704477
63;41.1415688;-8.6128692;872;16.3031406448856
64;41.141247;-8.6108162;437;27.3053885595209
65;41.1404984;-8.6164684;4398;23.1489148528267
66;41.1410216;-8.6146391;4753;22.6967676902244
67;41.1414248;-8.613438;1305;14.8765125730961
68;41.1473629;-8.6206422;1224;24.2273070637582
69;41.14727;-8.6204497;0;17.8019225275129
70;41.1472196;-8.6204201;3;16.9096057525937
71;41.1471652;-8.6204078;2;17.968717743841
72;41.1460365;-8.620148;869;20.9533306333874
73;41.1460795;-8.6198677;1296;23.5443196606108
74;41.1516838;-8.6096613;17571;42.7233717181621
75;41.15581;-8.6092494;6984;42.024132467736
76;41.1556754;-8.6100078;5347;42.2142988386658
77;41.1454754;-8.6155655;3028;23.6402398587394
78;41.1455854;-8.6153166;4130;29.6012679061663
79;41.1459499;-8.6142178;4401;31.8491596444283
80;41.1459444;-8.6136273;4606;38.2147027256776
81;41.1458819;-8.6135207;0;35.3929603950215
82;41.1455566;-8.6155211;0;14.8926109537349
