Source;Target;Label;Highway;Length;Type
1;2;Largo de João Costa;tertiary;27.78;Undirected
2;3;Largo de João Costa;tertiary;17.05;Undirected
3;4;Largo de João Costa;tertiary;19.53;Undirected
4;5;Largo de João Costa;tertiary;90.65;Undirected
5;6;Largo de João Costa;tertiary;16.7;Undirected
6;7;Largo de João Costa;tertiary;37.71;Undirected
7;8;Largo de João Costa;tertiary;30.39;Undirected
8;1;Largo de João Costa;tertiary;13.85;Undirected
7;9;Avenida dos Combatentes da Grande Guerra;tertiary;26.34;Undirected
9;8;Avenida dos Combatentes da Grande Guerra;tertiary;24.68;Undirected
10;11;UNAMED;tertiary;37.39;Undirected
12;13;Estrada de Santa Luzia;tertiary;46.93;Undirected
14;15;Praça General Barbosa;residential;73.2;Undirected
15;16;Praça General Barbosa;residential;39.42;Undirected
16;17;Praça General Barbosa;residential;11.05;Undirected
18;19;Rua Frei Bartolomeu dos Mártires;residential;130.22;Undirected
20;21;UNAMED;residential;120.3;Undirected
21;22;UNAMED;residential;202.93;Undirected
23;24;Avenida do Campo do Castelo;tertiary;221.3;Undirected
24;25;Avenida do Campo do Castelo;tertiary;89.74;Undirected
25;26;Alameda Alves Cerqueira;tertiary;8.63;Undirected
26;27;Alameda Alves Cerqueira;tertiary;500.08;Undirected
27;28;Alameda Alves Cerqueira;tertiary;75.95;Undirected
29;30;Ponte Eiffel;primary;913.48;Undirected
31;32;Estrada da Papanata;secondary;74.86;Undirected
32;33;Estrada da Papanata;secondary;21.28;Undirected
33;34;Estrada da Papanata;secondary;621.59;Undirected
35;36;Largo de João Rocha;residential;11.19;Undirected
37;38;UNAMED;tertiary;46.36;Undirected
38;39;Rua do Sport Club Vianense;residential;50.59;Undirected
39;40;Rua do Sport Club Vianense;residential;253.45;Undirected
40;41;Rua Aleixo Queirós Ribeiro;residential;85.99;Undirected
41;42;Rua Aleixo Queirós Ribeiro;residential;58.39;Undirected
42;43;Rua Aleixo Queirós Ribeiro;residential;62.16;Undirected
44;45;Rua de Ourense;residential;85.53;Undirected
45;46;Rua de Ourense;residential;96.92;Undirected
47;48;Avenida do Atlântico;tertiary;245.41;Undirected
48;49;Avenida do Atlântico;tertiary;347.3;Undirected
50;51;UNAMED;tertiary;32.78;Undirected
52;53;Rua de São José;tertiary;16.61;Undirected
53;54;Rua de São José;tertiary;28.32;Undirected
55;56;Rua de São José;residential;56.56;Undirected
